1.400000	two men are crying	رجلان يضحكان.
1.000000	A tired businessman takes a quick nap while riding the train.	يجد رجل الوقت لأخذ غفوة في سيارته الكهربائية.
0.200000	A man working on a light that has been broken for a week.	كان يوم عمل المرأة شاقا وهي ملتوية للأسفل .
0.400000	A man is attempting to fix the air compressor.	رجل يستخدم خرطوما فائق القوة لإخماد الحريق .
4.200000	a twelve year old girl eats chocolate ice cream	فتاة تأكل آيس كريم.
3.400000	a man holds a pro Judea protest sign at a protest rally	رجل يحمل لافتة احتجاج
4.400000	A woman holds a little boy wearing a blue sweatshirt.	امرأة تحمل طفلا مبتسما يرتدي قميصا أزرق.
3.200000	A bike riding blond child.	الفتاة تركب دراجتها .
2.600000	people are in the road	الناس بالقرب من الطريق
1.600000	The windows are tall.	النوافذ مفتوحة.
3.000000	A man is being chased by the police.	تعتقل الشرطة رجلا
1.600000	A girl has binoculars	فتاة شابة تحمل كاميرا
1.400000	Two people ride red bikes.	رجلان يقودان إلى آخر الطريق
1.200000	Two people are standing next to each other wearing pink.	هناك ثلاثة رجال، اثنان منهما يرتديان قميصين أحمرين يثرثران معا
1.400000	A black woman is buying donuts at the store.	المرأة تنظر إلى الشامبو في محل للبقالة.
3.000000	The man works in the local market.	مجموعة من التجار يعملون في السوق.
3.600000	A woman in red wears glasses and long earrings.	امرأة تلبس نظارات، وأقراطا كبيرة، وغطاء على رأسها.
4.000000	Skateboarder in midair at a park.	رجل في الهواء الطلق حديقة تزلج.
1.400000	a man working the kinks out of his old bones	الرجل يعمل بيده
1.200000	A woman in a one-piece bathing suit with a man on a boardwalk on a foggy day.	رجل يرتدي بذلة وامرأة ترتدي ثوب زفاف يسيران على رصيف مبتلّ.
2.800000	A man in a blue shirt helping a man in a red shirt fix a car.	رجل ذو قميص أزرق يساعد رجلا ذا قميص أحمر ليصلح مسار دراجة 
2.400000	A girl kneels on the ground with her friend.	تفترش أم الأرض مع ابنها
0.600000	The gymnast is a few feet off the ground.	شخص في الهواء مع الزلاجات على أقدامه.
0.800000	Boy walks past man in orange overalls who is sweeping garbage from the street.	المرأة التي تحمل حقيبة سوداء تعبر الشارع.
2.000000	Two men are trying to drink beer while tubing.	إمرأتان تحملان مشروبات وهما تسيران.
0.400000	The man is riding a jet ski.	كلب يركب طائرة.
5.000000	Girls are standing up.	الفتيات واقفات .
0.000000	men sitting on their couch while eating bull	امرأتان تجلسان إلى طاولة ملابسهما تشبه الضفادع
0.200000	A man is bending down in a park next to a woman on a bike.	رجل في كرسي متحرك يسير أسفل الرصيف
2.800000	Two men on a platform	أربعة رجال على منصة.
1.200000	The homeless man is alone in his box.	الرجل وحيدا في المنزل
4.400000	A bunch of people gathered on a beach.	مجموعة من الناس على الشاطئ.
4.600000	The girl is sitting and drinking water.	فتاة جالسة تشرب ماء .
0.200000	A lady shows a guy a reptile while another child is in the background.	فتاة تلتقط صورة لفتاة أكبر سنا في حديقة واسعة
2.000000	The people are not clapping.	الأشخاص كلهم عابسون.
3.200000	Jockeys race the fast horses.	فارسان يتسابقان على الخيل.
0.200000	They are playing with an antique set.	الرجال بجوار طاولة.
5.000000	The people are in the water.	الناس في الماء.
0.200000	A young man who looks Oriental is selling things.	تحب الفتاة الشابة حذاء ليس حذاءها.
1.800000	A group of women practice yoga in the backyard of a yellow house.	مجموعة من الأشخاص يجلسون في ملابس السباحة على شاطئ في أوضاع اليوغا.
1.600000	The boy is ready to take a swing at a ball using a bat.	صبي يستعد لإمساك كرة.
1.800000	Four women wearing bicycle riding clothing sit on a bench.	رجلان يجلسان على العشب يرتديان خوذات الدراجات.
0.000000	The man is taking a picture of the Empire State Building.	المرأة في الجيش.
2.800000	The people are sleeping in the snow.	الناس في الثلج.
1.400000	The insect is from Mars.	الحشرة تطير.
3.600000	A group of people eating outdoors.	مجموعة من الناس يأكلون
1.200000	A teenage pole vaulter is performing.	المتزلج ينفذ قفزة.
0.400000	The girl is learning how to use a microscope.	امراة كبيرة فى السن تظهر كيفية استخدام طاولة الغسيل للقيام بالغسيل.
2.000000	Two men dressed in white shirts button down shirts, white hats, with blue scarves tied around their necks	ثلاثة رجال يرتدون أقمصة حمراء وبيضاء مخططة، وسراويل بيضاء وقبعات سوداء يحملون أعلاما.
0.000000	A man is that just purchased and put on a rainbow colored necklace and is very happy.	رجل وطفل على الرمل.
5.000000	The young boys are brothers.	الولدان الصغيران شقيقان .
1.600000	Two kids are in a field.	كلبان يعملان في حقل
2.400000	There were only strawberries to eat at the baby shower.	الناس في حفل الوليد
0.600000	There is a bear in the jewelry store.	المرأة في المتجر تبحث عن أشياء في المؤن
0.400000	A man is holding a computer monitor.	رجل يعمل في نافذة.
0.800000	the man is using a heat suit control the flame	رجل يستخدم موقد اللحام لإذابة البلاستيك.
0.000000	Superman breaks down the sign so the group may pass	الثور يحاول إلقاء الرجل للخلف
