4.800000	Un perro está con un juguete.	Un perro tiene un juguete.
2.200000	Los niños acarician un conejito.	Los niños acarician un perro.
0.800000	La gente cocina en la parrilla.	Los peatones miran con asombro mientras dos personas cocinan pechuga en una parrilla.
2.200000	El hombre construye un pequeño castillo de arena	Una muchacha está construyendo un castillo de arena.
3.600000	Un hombre está corriendo detrás de un trineo tirado por cuatro perros.	Un hombre siendo tirado en un trineo por perros.
5.000000	Una persona haciendo rapel.	Una persona esta haciendo rapel
1.200000	La gente está esperando piezas de autos.	La gente está esperando por el auto.
0.400000	El hombre está emocionado, ya que esta es su primera presentación para su nueva empresa.	Un hombre está tocando un instrumento que él creó por dinero en la calle.
0.400000	Una muchacha en un vestido rosado está parada de cabeza.	Una mujer de rosado está cubriendo su rostro con una bufanda.
0.400000	Un hombre está apilando grupos de rocas junto al mar.	La banda está tocando dentro de un pequeño club nocturno.
1.400000	Un hombre vestido sólo con una toalla está de pie fuera cerca del agua.	Un hombre se está sentando delante de una fuente de agua
4.400000	El libro que se lee es Harry Potter	El hombre está leyendo un libro de Harry Potter.
0.400000	Hombre con traje escocés tocando la gaita en un día lluvioso en la acera.	Dos niñas balanceándose de lado a lado en un parque en un día cálido.
1.200000	Ciclista en un bosque cubierto de nieve en la noche	El esquiador está cerca del suelo cubierto de nieve.
1.000000	Un hombre toma la foto de una muchacha y ella está cerca del agua.	Una muchacha se está exhibiendo delante de su amigo.
5.000000	Una dama está cantando	Una dama cantando.
1.000000	El hombre es un artista callejero y tiene gente viendo sus trucos	Un joven surfea una gran ola mientras que otros están quietos en el fondo.
2.200000	Un capitán recibiendo un premio.	Después de una gran actuación, el hombre recibe una ovación de pie después de recibir un premio.
0.800000	El hombre está montando un monociclo con un loro en su hombro	Una mujer está montando en su bicicleta con un casco puesto.
4.600000	Un niño pequeño está sosteniendo un anillo de bodas.	Un niño pequeño en un traje sostiene el anillo para una boda.
0.400000	Cada persona que se muestra está sosteniendo un cachorro.	Una persona está hablando.
1.200000	La muchacha está disfrutando del día.	La mujer está celebrando Año Nuevo.
0.800000	Un joven manifestante sostiene un letrero contra la guerra.	Una hombre saludando con la mano mientras da un discurso.
0.600000	Una pareja está sentanda en el césped con sus pies cruzados, y se están besando.	El hombre y la mujer se alejan uno del otro.
1.000000	El agua está muy caliente.	El agua de la piscina está muy fría.
2.600000	Dos guitarristas a ambos lados de un escenario y un baterista detrás de una batería roja en el centro.	Una banda colocada en el escenario, con el guitarrista y el bajista delante
1.600000	La gente está a punto de comprar una pintura en una feria.	Un par de personas en un museo mirando en la tienda de regalos, potencialmente va a comprar algo.
0.800000	Un grupo de niñas que llevan pañuelos en la cabeza posan para una foto grupal.	Una niña con un paraguas rojo y pintura de la cara de pie junto a otras chicas.
0.200000	Un desfile en el cual hay una mujer vestida de blanco sobre zancos.	Hay una muchacha en un vestido rojo de pie en el muelle.
0.600000	un chico joven canta a una bola de baseball fuera del campo de golf	Un hombre y un niño están jugando en el agua.
0.200000	Una mujer sientiéndose asustada en un caballo en una montaña cubierta de nieve	Una niña sentada en la nieve
4.000000	Dos hombres en trajes rojos practicando artes marciales.	Dos hombre en uniformes de artes marciales entrenando.
4.000000	La gente está de pie en público.	La gente está en público.
3.600000	Una patinadora en una sudadera negra con capucha ejecutando un estupendo rail grind en su patineta.	Una patinadora en una sudadera blanca con capucha ejecutando un estupendo rail grind en su patineta.
2.600000	Una muchacha con pantalón rosado jugando en el suelo.	Un niño con pantalón azul juega en el suelo
1.200000	Juego nocturno en la pequeña liga	Jugadores de fútbol en el día del juego.
2.600000	Una mujer de rosado está sosteniendo a su hija.	Una mujer está caminando con su hija.
1.200000	La gente está viendo un concierto de rap dentro del estadio yankee	La multitud se vuelve loca por la banda
0.800000	Un hombre está viendo un pequeño televisor en la hornacina de un edificio rojo.	Un niño con un globo verde está de pie fuera de un edificio grande.
3.600000	Padre e hijo que visten atuendos de vaqueros iguales está viendo un rodeo.	Un pequeño niño y su padre están usando camisas de cuadros azules y viendo un rodeo.
3.800000	Un hombre está sosteniendo un letrero de publicidad.	Un hombre está sosteniendo un letrero para un restaurante.
5.000000	La chaqueta está hecha de cuero	La chaqueta está hecha de cuero
3.200000	Tres mujeres están de pie juntas.	Dos mujeres están de pie juntas.
1.000000	Niña jugando con su muñeca	Una madre juega peekaboo con su bebé
1.400000	Un hombre muestra alguna ropa mientras usa zapatos azules.	Un hombre y una mujer están usando sombreros de colores diferentes para su cita.
2.600000	Tres mujeres tejiendo medias	Las mujeres están cosiendo y tejiendo mantas de bebé.
5.000000	Una niño está dentro.	Una niño está dentro.
2.200000	Una mujer en una camisa a rayas sube una montaña.	Un hombre en una chaqueta roja subiendo una montaña
2.000000	Un hombre con un bigote toca el saxofón.	Un hombre con una barba toca la guitarra.
2.000000	Un niño está conduciendo un pequeño auto de carreras.	Un niño está montando una bicicleta.
4.400000	El hombre lanzó un palo.	El hombre lanza un palo.
2.000000	El hombre viste un suéter azul y está descalzo en una cancha.	El hombre está de pie en una tienda vistiendo una camisa azul.
0.600000	El reflejo de la anciana puede ser visto en un charco.	Una mujer está de pie en una multitud pero nadie puede verla porque ella es un fantasma.
0.400000	Tres hombres conversando seriamente en Walmart.	Tres mujeres que se quedan por la noche.
0.400000	Un aficionado está trando de atrapar una pelota en foul	Un hombre está paralelo en el aire, tratando de patear el balón de fútbol más allá del arquero.
1.200000	Hay una pelota cerca del campo haciendo donde corren los jugadores	Los muchachos están afuera en un campo.
0.000000	La mujer está vendiendo muñecas que parecen barbies.	El lindo bebé está jugando con un juguete.
1.800000	Una mujer está llamando a su amiga.	Un hombre está llamando a su enamorada.
2.200000	Un profesor de arte ayudando a un estudiante.	Un profesor ayuda a un estudiante en la clase de carpintería.
3.200000	Un hombre está preparándose para correr una maratón.	Un hombre corriendo para un maratón.
1.600000	Un desconocido está durmiendo en una galería de arte.	Una mujer está dentro de un museo de arte.
1.400000	Personas teniendo una barbacoa	La gente está en casa cenando.
0.000000	Un niño está abriendo la caja que contiene a su nuevo perrito.	Un hombre está haciendo un truco en un tablero.
1.600000	Todos estaban corriendo	Él va rápido.
2.600000	Una orquesta está afinando para un ensayo privado.	Una pequeña orquesta tocando para una audiencia.
5.000000	Un perro juega en un campo.	Un perro jugando en un campo.
1.800000	Un niño tranquiliza a un perro grande.	Un niño lanza algo para que un perro blanco lo atrape.
4.400000	Dos hombres juegan cricket afuera.	Dos hombres juegan cricket.
4.800000	Un hombre está operando maquinaria.	El hombre está operando una maquinaria.
5.000000	El hombre está caminando con su bicicleta.	El hombre está caminando su bicicleta.
0.200000	3 jugadores de baloncesto están tratando de ganar un juego	Dos equipos de jugadores de fútbol no comienzan un juego
0.000000	Dos hombres están teniendo un día de descanso.	Cuatro hombres están teniendo una conversación.
1.000000	Imagina mirando a un ciclista de maratón en su bicicleta, bajando por un pasillo de gente.	Un hombre está tratando de montar cuatro bicicletas al mismo tiempo.
0.200000	El verano realmente es agradable.	Una pareja está disfrutando del buen día.
1.200000	La gente deja caer las banderas.	La gente está cerca a la bandera.
4.600000	Una multitud se prepara para un evento.	Una multitud está esperando que comience un evento.
0.600000	El hombre compró solo	El hombre leyó solo afuera
1.800000	Un pequeño perro lleva un lazo por la calle.	Un pequeño perro saltando en la calle.
3.800000	Los empresarios están reunidos para discutir sus últimas iniciativas.	Dos hombres están discutiendo su reunión de negocios.
2.400000	Un grupo de personas hablan mientras se acurrucan en la calle	Grupo de personas reunidas como en una reunión con comida delante de ellos.
0.000000	Una mujer comparte su paraguas.	Un hombre y una mujer de la mano.
0.000000	Una persona está subiendo un asta para asegurar la bandera mientras que la gente mira.	Una persona bajando de la montaña.
0.800000	Un hombre esquivando adversarios con una bola de basquet mientras otro hombre observa	Un hombre de mediana edad está a punto de golpear una pelota de tenis con su raqueta.
3.600000	Una mujer cosechando sus cultivos en un área pantanosa.	Una mujer usando una azada cerca de sus cultivos en una granja
4.000000	Un hombre triste colocando material negro en la calle.	Un hombre colocando material negro en la calle.
1.400000	Una serie de personas de pie cerca a una estatua de un toro.	Una estatua de oro de una hombre mientras que gente camina frente a un bar de restaurante.
1.200000	Un hombre y su perro en la cima de una montaña.	Un hombre encima de un caballo.
1.200000	Una niña llevando un vestido en una boda.	Una mujer llevando un vestido y un hombre llevando una camiseta sentados al lado del arte.
4.200000	Un hombre en una bicicleta hace un backflip.	Alguien está haciendo un backflip en una bicicleta.
4.000000	Un hombre corriendo en una corredora	Un hombre está caminando en una corredora
0.800000	Él estaba cerca de un puente.	El anciano estaba cerca del fuego.
0.000000	Personas ancianas ayudándonse los unos a los otros	El hombre está revisando sus acciones antes de hacer un comentario a las otras personas.
2.600000	Un hombre está corriendo de prisa en la calle.	El hombre está manejando una bicicleta en la calle.
0.000000	Los hombres están en huelga.	Los dos hombres están apagando el fuego.
0.000000	Dos hombres observan una reacción química.	Un grupo de hombres está afuera con armas.
3.800000	Una multitud está mirando a un hombre en el escenario.	Un hombre canta solo en el escenario para una multitud.
3.200000	Un grupo está actuando para unos niños	Un grupo de niños miran a un grupo de adultos.
2.800000	Dama en un top oscuro, falta con impresioes, medias rojas y zapatos caminando	Mujer caminando en la calle con tacones altos, leggins negros, abrigo negro y cartera roja
1.600000	Una mujer está usando una red para pescar en el río.	Un pez está saltando fuera del agua para atrapar una mosca.
1.600000	Puede haber una mujer bajo una imagen de Jesús.	Hay una persona en la fotografía.
2.800000	La señora mayor está usando lentes de sol para proteger sus ojos del sol brillante.	Este hombre usa lentes de sol para mantener el sol fuera alejado de sus ojos
4.600000	Una mujer a punto de comer pescado.	Una mujer a punto de comer trucha.
3.400000	Un equipo de atletas jóvenes planea su gran victoria	Su equipo está ganando.
5.000000	Un cable es más grande que el otro.	Un cable es más grande que el otro.
2.200000	Un niño tiene un teléfono inteligente y nada más.	Un hombre puede tener un teléfono inteligente.
0.800000	La gente está al aire libre en una montaña.	La gente está de pie alrededor de dos cuatrimotos en una playa.
5.000000	Cuatro mujeres están en la piscina.	Las cuatro mujeres están en una piscina
4.200000	Una niña está intentando esconderse de sus padres	Una muchacha joven tratando de esconderse de su mamá.
2.200000	Dos hombres están en sus autos en tráfico pesado	Las dos personas están conduciendo camiones.
1.200000	Dos hombres ubicados en una cabina de control.	Dos hombres de la misma rama militar están sentados en un bus.
1.400000	El perro negro grande está detrás del perro negro pequeño.	El perro negro y blanco está persiguiendo un gato.
1.600000	El perro está conduciendo un auto.	El hombre está conduciendo un auto azul.
1.400000	Esta pequeña niña está emocionada por la boda	La pequeña niña está buscando algo raro.
5.000000	El hombre viste un polo verde	El hombre viste una camisa de polo verde.
0.800000	No hay color en la imagen.	Hay un letrero en esta imagen.
0.000000	Un turista está usando los binoculares para ver el océano.	El perro está a punto de saltar al agua.
